,bandpass,period,FAP
0,0.1,"[79.47248076909325, 102.83729795365572]","[8.517519927301531e-13, 1.6160911918797979e-06]"
1,0.2,"[79.89462497928172, 102.83729795365572, 41.40540301856022]","[3.0692278900455966e-13, 9.188212900112632e-06, 0.0006205472878185603]"
2,0.3,[84.3765635621279],[0.0004607070529385069]
3,0.4,[82.98005592096179],[5.444836229884314e-09]
4,0.5,[85.82088068530248],[8.379958965261617e-07]
5,0.6,[91.01399204253029],[0.0002201182915897598]
6,0.7,[94.44289513041403],[3.4435817237657414e-05]
7,0.8,"[77.42695268769103, 96.87606412615085]","[8.436577887059803e-07, 4.8126147016548625e-06]"
8,0.9,"[77.82759079774885, 97.50407295344482]","[2.383922957472711e-09, 1.1222759922197036e-06]"
9,1.0,"[78.2323965976698, 98.1402771689143]","[7.025588152251707e-12, 7.407415975317673e-06]"
10,1.1,"[78.64143545987739, 98.78483824841013]","[5.072942248593972e-14, 5.6903780931083396e-06]"
11,1.2,"[78.64143545987739, 99.43792193796239]","[3.063129888720809e-15, 4.923259394125617e-06]"
12,1.3,"[78.64143545987739, 99.43792193796239]","[1.1342902171125047e-14, 3.648056641276462e-06]"
13,1.4,"[78.64143545987739, 99.43792193796239, 41.4054030185602]","[2.2736884102152225e-15, 4.750397684428e-06, 0.000584068169006579]"
14,1.5,"[78.6414354598774, 100.09969839587444, 41.29173281716647]","[1.0598003459830807e-17, 1.5665880290997842e-07, 0.0004034885612915169]"
15,1.6,"[79.05477413118251, 100.0996983958744, 41.29173281716646]","[1.4212676765014297e-17, 3.0025576438553813e-06, 0.0004532936674592206]"
16,1.7,"[79.05477413118251, 100.0996983958744, 41.29173281716646]","[2.997917877937746e-18, 2.759066013262497e-06, 0.000498812792810872]"
17,1.8,"[79.05477413118251, 100.0996983958744, 41.29173281716646]","[9.595898939788405e-19, 1.6140380485474023e-06, 0.0007481762445554818]"
18,1.9,"[79.05477413118251, 100.77034234052866, 41.29173281716646]","[3.3650939306491387e-18, 2.4208713187339417e-06, 0.0008332511696355807]"
19,2.0,"[79.05477413118251, 100.77034234052866, 41.29173281716646]","[2.162291641168184e-18, 2.6649788066049957e-06, 0.0007209019275269755]"
20,2.1,"[79.05477413118251, 100.77034234052866]","[8.838632124744524e-19, 4.447462603477701e-06]"
21,2.2,"[79.05477413118251, 100.77034234052866]","[5.904613368618525e-19, 3.803160316969277e-06]"
22,2.3,"[79.05477413118253, 100.09969839587444]","[8.836326613618827e-17, 8.973610891952342e-07]"
23,2.4,"[79.05477413118251, 100.77034234052866]","[2.98633776621578e-18, 6.213412111474181e-06]"
24,2.5,"[79.05477413118251, 100.77034234052866]","[1.0397026075214443e-17, 9.559264722053622e-06]"
25,2.6,"[79.05477413118253, 100.09969839587444]","[3.44986561485101e-16, 1.930556654306914e-06]"
26,2.7,"[79.05477413118251, 100.77034234052866]","[1.8358183654395813e-18, 1.4328582048626086e-05]"
27,2.8,"[79.05477413118251, 100.77034234052866]","[6.5973210197336846e-18, 1.715492281425398e-05]"
28,2.9,"[79.05477413118253, 100.09969839587444]","[7.241966976997337e-16, 4.914588773151701e-06]"
29,3.0,"[79.05477413118251, 100.77034234052866]","[5.574019384439077e-17, 3.4640088683345214e-05]"
30,3.1,"[79.05477413118251, 100.77034234052866]","[7.00964870567349e-17, 4.291680013360047e-05]"
31,3.2,"[79.05477413118253, 100.09969839587444]","[1.02506285249916e-14, 1.7266595645285137e-05]"
32,3.3,"[79.05477413118251, 100.0996983958744]","[3.834606257231897e-16, 5.663594644395935e-05]"
33,3.4,"[79.05477413118251, 100.0996983958744]","[8.816416337695315e-16, 7.201705518885797e-05]"
34,3.5,"[79.05477413118253, 100.09969839587444]","[8.007957460757694e-14, 1.947651020183829e-05]"
35,3.6,"[79.05477413118251, 100.0996983958744]","[3.7563012664142025e-15, 5.200330974067162e-05]"
36,3.7,"[78.64143545987739, 100.0996983958744]","[2.000397494283045e-14, 7.43460308364023e-05]"
37,3.8,"[78.6414354598774, 99.43792193796241]","[1.792914803049661e-12, 3.8657977159744314e-05]"
38,3.9,"[78.64143545987739, 100.0996983958744]","[1.417676260037573e-13, 7.595298490515081e-05]"
39,4.0,"[78.64143545987739, 100.0996983958744]","[3.0091907403667524e-13, 0.00014482731907827597]"
40,4.1,"[78.6414354598774, 100.09969839587444]","[2.0700930017573388e-11, 7.073172962974301e-05]"
41,4.2,"[79.05477413118253, 100.09969839587444]","[4.289428897386375e-11, 0.00010484915324715623]"
42,4.3,"[79.05477413118253, 100.09969839587444]","[5.3501003779878645e-11, 0.0001293697810485134]"
43,4.4,"[79.05477413118253, 100.09969839587444]","[9.715701629581474e-11, 0.00013970861855640366]"
44,4.5,"[79.05477413118253, 100.09969839587444]","[1.2542316615014085e-10, 0.00012746144634454048]"
45,4.6,"[79.05477413118253, 100.09969839587444]","[2.3763083870644483e-10, 0.0001367081269910539]"
46,4.7,"[79.05477413118253, 100.09969839587444]","[3.6122168277342204e-10, 0.000176132252734354]"
47,4.8,"[79.05477413118253, 100.09969839587444]","[1.5316106269038904e-09, 0.0002074446104192267]"
48,4.9,"[78.6414354598774, 100.09969839587444]","[3.4308237795120886e-09, 0.0001756108076511108]"
49,5.0,"[78.6414354598774, 100.09969839587444]","[6.81108293782434e-09, 0.00022360567884715583]"
50,5.1,"[78.6414354598774, 100.09969839587444]","[1.4302986290721546e-08, 0.00023082282698208995]"
51,5.2,"[78.6414354598774, 100.09969839587444]","[6.187449369081526e-08, 0.0007709458096592901]"
52,5.3,"[78.6414354598774, 100.09969839587444]","[9.978943129764122e-08, 0.0009524821366160916]"
53,5.4,[78.6414354598774],[2.225073855405407e-07]
54,5.5,[78.6414354598774],[4.504382948825996e-07]
55,5.6,[78.6414354598774],[1.3555959877619397e-06]
