,bandpass,period,FAP,input_period
0,0.1,"(79.89462497928172,)","(2.6108473380889566e-14,)","[80, 85]"
1,0.2,"(80.32127785425143,)","(1.197022765004547e-11,)","[80, 85]"
2,0.3,"(81.62902254262609,)","(1.0507829361212112e-06,)","[80, 85]"
3,0.6,"(78.23239659766982,)","(4.569365730501412e-06,)","[80, 85]"
4,0.7,"(78.6414354598774,)","(1.8494311637576456e-08,)","[80, 85]"
5,0.8,"(79.05477413118253,)","(5.899329078003909e-10,)","[80, 85]"
6,0.9,"(79.05477413118253,)","(3.183752083271713e-11,)","[80, 85]"
7,1.0,"(79.05477413118253,)","(1.2699711770000461e-12,)","[80, 85]"
8,1.1,"(79.05477413118253,)","(1.564481718438289e-13,)","[80, 85]"
9,1.2,"(79.05477413118253,)","(1.454969365003175e-13,)","[80, 85]"
10,1.3,"(79.05477413118253,)","(1.398821090125495e-13,)","[80, 85]"
11,1.4,"(79.05477413118253,)","(9.601050256061777e-14,)","[80, 85]"
12,1.5,"(79.05477413118251,)","(4.600326417654169e-16,)","[80, 85]"
13,1.6,"(79.47248076909324,)","(1.9987271693269515e-16,)","[80, 85]"
14,1.7,"(79.47248076909324,)","(7.012226102389494e-17,)","[80, 85]"
15,1.8,"(79.47248076909324,)","(4.9856531192526004e-17,)","[80, 85]"
16,1.9,"(79.47248076909324,)","(5.5483439284507215e-17,)","[80, 85]"
17,2.0,"(79.47248076909324,)","(1.4708546346031988e-17,)","[80, 85]"
18,2.1,"(79.47248076909324,)","(1.1835679206871155e-17,)","[80, 85]"
19,2.2,"(79.47248076909324,)","(3.1769424233756515e-17,)","[80, 85]"
20,2.3,"(79.47248076909324,)","(2.5011227536776183e-17,)","[80, 85]"
21,2.4,"(79.47248076909324,)","(1.676352166912349e-17,)","[80, 85]"
22,2.5,"(79.89462497928167,)","(1.1399630854695999e-17,)","[80, 85]"
23,2.6,"(79.89462497928167,)","(9.546338206612066e-18,)","[80, 85]"
24,2.7,"(79.89462497928167,)","(1.354727115079604e-17,)","[80, 85]"
25,2.8,"(79.89462497928167,)","(1.0496958207194224e-17,)","[80, 85]"
26,2.9,"(79.89462497928167,)","(1.475784453585086e-17,)","[80, 85]"
27,3.0,"(79.47248076909324,)","(2.3211738287651292e-17,)","[80, 85]"
28,3.1,"(79.47248076909324,)","(2.24769147649309e-17,)","[80, 85]"
29,3.2,"(79.47248076909324,)","(2.829743899133656e-17,)","[80, 85]"
30,3.3,"(79.47248076909324,)","(7.033194038372153e-17,)","[80, 85]"
31,3.4,"(79.47248076909324,)","(1.3248203165163994e-16,)","[80, 85]"
32,3.5,"(79.47248076909324,)","(1.2586518149582465e-16,)","[80, 85]"
33,3.6,"(79.47248076909324,)","(2.3856097501209925e-16,)","[80, 85]"
34,3.7,"(79.47248076909324,)","(3.8492626232501187e-16,)","[80, 85]"
35,3.8,"(79.47248076909324,)","(3.748037139267261e-16,)","[80, 85]"
36,3.9,"(79.47248076909324,)","(2.359421371290402e-16,)","[80, 85]"
37,4.0,"(79.89462497928167,)","(2.3692758757280937e-16,)","[80, 85]"
38,4.1,"(79.89462497928172,)","(1.6749174348349157e-14,)","[80, 85]"
39,4.2,"(79.89462497928167,)","(5.854629012398056e-16,)","[80, 85]"
40,4.3,"(79.89462497928167,)","(5.787771329256981e-16,)","[80, 85]"
41,4.4,"(79.89462497928167,)","(5.886609560206109e-16,)","[80, 85]"
42,4.5,"(79.89462497928167,)","(6.412364105005068e-16,)","[80, 85]"
43,4.6,"(79.89462497928167,)","(1.5797451789970732e-15,)","[80, 85]"
44,4.7,"(79.89462497928167,)","(2.982931649639485e-15,)","[80, 85]"
45,4.8,"(79.89462497928167,)","(3.3545432369672496e-15,)","[80, 85]"
46,4.9,"(79.89462497928172,)","(1.4626543924310975e-13,)","[80, 85]"
47,5.0,"(79.89462497928167,)","(3.997509944584958e-15,)","[80, 85]"
48,5.1,"(79.89462497928172,)","(2.041056091007154e-13,)","[80, 85]"
49,5.2,"(79.89462497928172,)","(1.807121969073011e-13,)","[80, 85]"
50,5.3,"(79.89462497928172,)","(2.4861421920485457e-13,)","[80, 85]"
51,5.4,"(79.89462497928172,)","(5.409316961686173e-13,)","[80, 85]"
52,5.5,"(79.89462497928172,)","(9.155627460295807e-13,)","[80, 85]"
53,5.6,"(79.89462497928172,)","(1.6822451925324153e-12,)","[80, 85]"
54,5.7,"(79.89462497928172,)","(1.7728876099616167e-12,)","[80, 85]"
55,5.8,"(79.89462497928172,)","(2.6225541042644403e-12,)","[80, 85]"
56,5.9,"(79.89462497928172,)","(2.2129790123507557e-12,)","[80, 85]"
57,6.0,"(79.89462497928172,)","(3.308428859128417e-12,)","[80, 85]"
58,6.1,"(79.89462497928172,)","(4.281345290332692e-12,)","[80, 85]"
59,6.2,"(79.89462497928172,)","(5.614881177703958e-12,)","[80, 85]"
60,6.3,"(79.89462497928172,)","(4.586869599181e-12,)","[80, 85]"
61,6.4,"(79.89462497928172,)","(4.172863544725897e-12,)","[80, 85]"
62,6.5,"(79.89462497928172,)","(5.914569619300179e-12,)","[80, 85]"
63,6.6,"(79.89462497928172,)","(8.191000814219465e-12,)","[80, 85]"
64,6.7,"(79.89462497928172,)","(1.1235014563466227e-11,)","[80, 85]"
65,6.8,"(79.89462497928172,)","(1.131327783313398e-11,)","[80, 85]"
66,6.9,"(79.89462497928172,)","(1.2815377402809027e-11,)","[80, 85]"
67,7.0,"(79.89462497928172,)","(1.8367052959763536e-11,)","[80, 85]"
68,7.1,"(79.89462497928172,)","(2.0415938847743945e-11,)","[80, 85]"
69,7.2,"(79.89462497928172,)","(2.228039750352293e-11,)","[80, 85]"
70,7.3,"(79.89462497928172,)","(3.3196208818951847e-11,)","[80, 85]"
71,7.4,"(79.89462497928172,)","(3.5623530369436754e-11,)","[80, 85]"
72,7.5,"(79.89462497928172,)","(4.320904375273939e-11,)","[80, 85]"
73,7.6,"(79.89462497928172,)","(5.684482024932373e-11,)","[80, 85]"
